PRE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1901,1.3,12.1,27.4,101,134.7,159,109.1,217.2,235.7,160.3,17.7,0.7,
1902,1.8,6.2,82.2,124.9,189.3,119.6,170.8,205,158.9,99.9,12.1,10.3,
1903,2,2.7,26.5,110,156,104.5,112.4,202.9,187.2,85.6,23.9,5.8,
1904,5.1,5.2,47.9,79.6,146,121.2,122.8,119.2,166.4,99.9,14.6,8.8,
1905,3.6,5.5,36.9,74.9,139.3,134.9,188.1,212.8,198.3,110.4,12.5,16.5,
1906,4.3,5.6,30.6,109.9,164.9,174,137.9,118,208,145.8,28.7,4.1,
1907,4.8,11.6,43.6,71.1,88.4,155.1,117.5,77,209.7,112.8,7.7,6.6,
1908,1,6.6,32.9,108.7,127.5,147.1,162.8,111.3,264.9,130.3,17.7,2.7,
1909,11.9,27.4,84.9,110.3,149.1,128.1,165.1,230.3,167.3,177,10.2,8.9,
1910,0,4.2,27.1,100.5,103.4,128.2,232.1,261.1,288.8,73.8,3.8,16.7,
1911,0.1,3.3,131.3,81.5,132.6,122.2,145.9,152.5,206,72.6,21.4,3.8,
1912,7.1,13.3,35.4,117.2,74.5,117.4,112.7,131.9,163.6,111.2,1.8,20.8,
1913,4.2,28.4,14.7,72.3,100.3,109.3,150.1,270.8,242.5,68.3,4.8,0.7,
1914,1.9,6.8,45.2,50.1,91.1,119.9,114.1,151.6,235.4,125.3,30.9,5.9,
1915,0,1.5,118.4,65.8,195.7,128.7,171.3,162.8,217.7,102.1,10.5,5.6,
1916,0,1.4,51.5,102.1,155.1,150.2,162,264.5,183.8,115,45.7,1.7,
1917,13.7,30.7,40.8,51.7,176.6,124.8,154.8,368.1,369.3,95.1,20.8,6.5,
1918,0.6,1.3,51.6,89.2,174.7,163.9,199.3,137.7,137.6,125.6,44.8,34.5,
1919,1.8,3.3,78.2,86.9,147,145.4,77.9,100.9,209.9,110.5,10.6,1,
1920,0,12.8,22.8,109,120.4,123.7,129.6,144.4,174.7,74.9,22.7,1.8,
1921,0,8.3,60,62.5,114.1,137.1,175.6,269.7,296.7,77.4,38.4,0.2,
1922,0.1,15.2,18.1,107.9,120.7,105.9,76.4,114.8,273.6,146.7,40.2,4.6,
1923,12.5,3.8,78.5,139.9,83.1,112.5,129.4,88.5,279,89,27.2,7.5,
