lat,lon,rr,tx,tn,rh
11.1637506,-0.280419,4.9334192,36.2483521,26.2838516,48.000679
11.1137514,-0.380419,7.9720955,36.4342842,26.4156952,47.3204727
11.1137514,-0.280419,4.4984193,36.2509613,26.2900066,47.9930153
11.1137514,-0.230419,2.5476811,36.1610146,26.2294292,48.339138
11.1137514,-0.180419,1.0734786,36.0762749,26.1723251,48.6634254
11.0637512,-0.430419,9.6041946,36.546917,26.495615,46.8794441
11.0637512,-0.380419,8.503437,36.4367485,26.4215775,47.3132896
11.0637512,-0.330419,6.6066475,36.3454056,26.3580265,47.6308174
11.0637512,-0.280419,4.4596963,36.2476845,26.2923317,48.0089035
11.0637512,-0.230419,2.3911932,36.1557388,26.2305164,48.362606
11.0637512,-0.180419,0.8278611,36.0694199,26.1724339,48.6927299
11.0637512,-0.130419,0.0713428,35.9884987,26.1179008,49.0003777
11.0637512,-0.080419,0.1279357,35.9126968,26.0667057,49.2868271
11.0637512,-0.030419,0.767924,35.8417015,26.0186214,49.553463
11.0637512,0.019581,1.7085688,35.7752075,25.973423,49.8017082
11.013751,-1.5804191,9.3742456,36.8817215,26.6105423,45.7447357
11.013751,-1.530419,9.7620916,37.046463,26.7487316,45.0346947
11.013751,-1.480419,10.1235571,37.2074966,26.8814087,44.3443947
11.013751,-1.430419,10.4333391,37.3613586,27.0060482,43.6881332
11.013751,-0.480419,10.8637819,36.6636543,26.5781403,46.4206123
11.013751,-0.430419,10.2253437,36.5445137,26.498148,46.8922501
11.013751,-0.380419,8.7950697,36.4314461,26.4223633,47.3375473
11.013751,-0.330419,6.9658098,36.3376389,26.3573627,47.6651039
11.013751,-0.280419,4.8881502,36.2381096,26.2906075,48.0499992
11.013751,-0.230419,2.874465,36.1447945,26.2279892,48.4087029
11.013751,-0.180419,1.3320948,36.0574684,26.169323,48.7423096
11.013751,-0.130419,0.5554422,35.9758377,26.114378,49.0521889
11.013751,-0.080419,0.5614278,35.8995743,26.0629101,49.3398628
11.013751,-0.030419,1.1387399,35.8283272,26.0146637,49.6069107
11.013751,0.019581,2.0189085,35.761734,25.9693871,49.8549309
10.9637508,-2.8304191,6.5896554,34.6476364,24.429491,56.0102005
10.9637508,-2.7804191,6.5429544,34.6676636,24.4387741,55.9438057
10.9637508,-2.7304189,6.5267987,34.6904564,24.4526043,55.8609657
10.9637508,-2.680419,6.5360932,34.7164345,24.4715366,55.7595024
10.9637508,-2.630419,6.5623484,34.7460365,24.4961166,55.6371727
10.9637508,-2.5804191,6.5969329,34.7797394,24.5268688,55.491703
10.9637508,-2.5304191,6.6344666,34.8180313,24.5642834,55.3208504
10.9637508,-2.4804189,6.67378,34.8614159,24.6087933,55.1224251
10.9637508,-2.430419,6.7154322,34.910408,24.6607685,54.8943596
10.9637508,-2.380419,6.3245625,34.9394493,24.7113743,54.5832863
10.9637508,-2.3304191,6.3341599,35.0012016,24.7790718,54.2912979
10.9637508,-2.2804191,6.3267126,35.0700035,24.8548317,53.9646301
10.9637508,-2.2304189,6.3006082,35.1463051,24.9386749,53.6021042
10.9637508,-2.180419,6.2591248,35.2305031,25.0305328,53.2028351
10.9637508,-2.130419,6.2110877,35.3229523,25.1302395,52.7662277
10.9637508,-2.0804191,6.1696572,35.4239311,25.2375507,52.2920151
10.9637508,-2.0304191,6.1498237,35.5336533,25.3521328,51.7802582
10.9637508,-1.980419,7.8589268,35.6522293,25.4735756,51.2314148
10.9637508,-1.930419,8.0533781,35.7796555,25.6013775,50.6463737
10.9637508,-1.880419,8.3044834,35.9157944,25.7349472,50.0265579
10.9637508,-1.8304191,8.5672426,36.0603333,25.8735847,49.3740501
10.9637508,-1.780419,8.8612328,36.2127266,26.0164585,48.691761
10.9637508,-1.730419,7.8647962,36.3721657,26.1625671,47.9836426
10.9637508,-1.680419,8.2946939,36.5375061,26.3107147,47.2549515
10.9637508,-1.630419,8.7292967,36.7071877,26.4594555,46.5125198
10.9637508,-1.5804191,9.1571865,36.8791885,26.6070652,45.7650337
10.9637508,-1.530419,9.5681334,37.0509491,26.751503,45.0232697
10.9637508,-1.480419,9.9511566,37.2193527,26.8904076,44.3001938
10.9637508,-1.430419,10.2842979,37.3807487,27.0211201,43.6108742
10.9637508,-1.380419,10.5428028,37.5310364,27.1407585,42.9721336
10.9637508,-1.3304191,10.7053347,37.6658249,27.2463531,42.4017982
10.9637508,-1.280419,10.7131529,37.7807198,27.3350315,41.9176102
10.9637508,-1.230419,10.4769468,37.8716545,27.4042625,41.5358276
10.9637508,-1.180419,9.9163151,37.9352722,27.4521103,41.2696114
10.9637508,-1.130419,9.3686428,37.9693031,27.4774647,41.1275749
10.9637508,-1.0804191,11.2097988,37.9728394,27.4802055,41.1126442
10.9637508,-1.030419,14.1157894,37.9464569,27.4612465,41.2215767
10.9637508,-0.980419,14.973568,37.8914375,27.4222393,41.449688
10.9637508,-0.930419,17.1072311,37.8118935,27.366087,41.7775993
10.9637508,-0.830419,28.515871,37.5950012,27.2148113,42.6674538
10.9637508,-0.780419,15.3444853,37.4667892,27.1263256,43.1908913
10.9637508,-0.730419,1.5308481,37.3312531,27.0333843,43.7422447
10.9637508,-0.680419,6.8303046,37.1921959,26.9385796,44.3057404
10.9637508,-0.580419,11.47472,36.915554,26.7513618,45.4197044
10.9637508,-0.530419,11.5877762,36.7823563,26.6617603,45.9523773
10.9637508,-0.480419,11.0705671,36.6545067,26.5760155,46.4611244
10.9637508,-0.430419,10.5117102,36.5328445,26.4946079,46.9427147
10.9637508,-0.380419,9.2029581,36.4178352,26.4177685,47.3954773
10.9637508,-0.330419,7.5505457,36.3096504,26.345541,47.8189392
10.9637508,-0.280419,5.6902833,36.2219467,26.2846947,48.1175194
10.9637508,-0.230419,3.883857,36.1279678,26.2217655,48.4782753
10.9637508,-0.180419,2.4667335,36.0402641,26.1629448,48.8127327
10.9637508,-0.130419,1.6894085,35.9584961,26.1079693,49.1224976
10.9637508,-0.080419,1.5862806,35.8822784,26.0565624,49.4093018
10.9637508,-0.030419,2.0013802,35.8112183,26.0084457,49.6749153
10.9137506,-2.7804191,6.2981691,34.6312408,24.3742886,56.1710777
10.9137506,-2.7304189,6.2917204,34.6519966,24.3850613,56.0997162
10.9137506,-2.680419,6.3211951,34.6759415,24.4012108,56.0091591
10.9137506,-2.630419,6.3712597,34.7035599,24.4233551,55.8969193
10.9137506,-2.5804191,6.4257493,34.7353592,24.4520969,55.760479
10.9137506,-2.5304191,6.4756947,34.7718811,24.4879913,55.5973511
10.9137506,-2.4804189,6.5222774,34.8136711,24.5315266,55.4051285
10.9137506,-2.430419,6.5710821,34.8612785,24.5831203,55.1815567
10.9137506,-2.380419,6.6225934,34.8903351,24.6343689,54.8750381
10.9137506,-2.3304191,6.2660737,34.9511948,24.7029209,54.5835304
10.9137506,-2.2804191,6.2515159,35.0194244,24.7801533,54.2552948
10.9137506,-2.2304189,6.2059855,35.0954857,24.8660603,53.8891563
10.9137506,-2.180419,6.1324759,35.1798058,24.9605293,53.484272
10.9137506,-2.130419,6.0431609,35.2727432,25.063345,53.0401344
10.9137506,-2.0804191,5.9572372,35.374588,25.1741943,52.556572
10.9137506,-2.0304191,5.8967395,35.4855537,25.2926826,52.0337868
10.9137506,-1.980419,5.8816833,35.6057549,25.4183273,51.4723473
10.9137506,-1.930419,7.6095076,35.7351952,25.5505676,50.8732491
10.9137506,-1.880419,7.8591008,35.8737297,25.6887589,50.2379913
10.9137506,-1.8304191,8.1622028,36.0210609,25.8321571,49.5686989
10.9137506,-1.780419,8.4854631,36.1766586,25.9798927,48.8682785
10.9137506,-1.730419,7.5207958,36.3397255,26.130949,48.140667
10.9137506,-1.680419,7.979682,36.5091324,26.2841091,47.3910675
10.9137506,-1.630419,8.4411783,36.6833344,26.4379196,46.6262856
10.9137506,-1.5804191,8.8932638,36.8602943,26.5906372,45.8550339
10.9137506,-1.530419,9.327014,37.037426,26.7401924,45.0882149
10.9137506,-1.480419,9.7338257,37.2115326,26.8841705,44.3390961
10.9137506,-1.430419,10.0980921,37.3788414,27.0198326,43.6232834
10.9137506,-1.380419,10.3863173,37.5350418,27.1441746,42.9583855
10.9137506,-1.3304191,10.5742521,37.675499,27.2540684,42.3632965
10.9137506,-1.280419,10.5803766,37.7954979,27.3464584,41.8570404
10.9137506,-1.230419,10.2386818,37.8906364,27.4186249,41.4572296
